,cat_investment,cat_size,net_assets,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,label
0,1,1,4010000000000.0,100.0,0.0,12.92,1.18,0.81,5.41,7.81,17.26,11.73,3.19,9.44,7.05,1.96,4.95,1.7,20.29,14.61,0
1,1,1,8430000000000.0,99.99,0.0,12.92,1.18,0.81,5.41,7.81,17.26,11.73,3.19,9.43,7.06,1.96,4.95,1.7,20.29,14.62,0
2,1,1,3730000000000.0,99.08,0.0,12.92,1.18,0.81,5.44,7.74,17.33,11.57,3.22,9.53,7.07,1.99,4.98,1.7,20.23,14.62,0
3,-1,1,4450000000.0,18.57,0.0,12.09,1.01,0.56,3.86,6.38,13.36,14.15,0.0,10.13,11.0,3.68,10.08,8.52,18.17,4.53,0
4,1,1,1920000000.0,100.0,0.0,11.34,1.12,1.07,4.06,2.41,14.25,16.26,1.74,7.93,4.55,0.0,15.52,2.0,16.26,19.06,0
5,1,1,3260000000.0,99.9,0.0,11.34,1.12,1.07,4.07,2.44,14.26,16.25,1.74,7.91,4.56,0.0,15.52,2.0,16.32,18.99,0
6,1,0,2300000000.0,99.33,0.0,14.48,1.08,0.66,5.68,11.55,22.05,11.79,1.72,9.54,6.49,1.43,0.22,0.29,21.47,13.44,1
7,-1,1,6450000000000.0,99.06,0.0,7.04,0.97,0.66,5.15,7.83,9.27,11.88,0.0,6.35,6.11,1.31,3.04,2.35,9.38,42.47,0
8,1,1,10050000000.0,98.71,0.0,12.86,1.23,0.89,5.55,7.49,18.64,10.29,3.16,8.89,7.21,1.82,7.79,1.84,18.12,14.76,0
9,0,1,2650000000000.0,100.0,0.0,15.52,1.66,1.07,9.04,10.0,23.38,2.81,2.18,8.33,11.29,0.23,7.65,0.9,17.59,15.63,0
10,0,1,5970000000000.0,99.99,0.0,15.85,1.69,1.09,9.22,9.88,23.78,2.7,2.25,8.48,11.76,0.23,7.58,0.78,17.19,15.36,0
11,1,1,1840000000.0,98.4,0.0,10.89,1.38,1.07,4.75,7.64,9.2,35.84,4.92,7.97,5.95,2.85,0.73,1.49,13.51,9.91,-1
